supplier_id,supplier_name,contact_person,email,phone,address_line1,address_line2,city,county,postcode,country,product_category,minimum_order,credit_terms,delivery_days,rating,active,last_order_date
1, Toys R Fun Ltd ,Sarah Mitchell,sarah@toysrfun.co.uk,020 7946 1234,45 Warehouse Road,,London,Greater London,E1 6AN,United Kingdom,Plush Toys,£250.00,30 days,3-5,4.5,TRUE,2024-01-15
2,brighton BEARS,  John Smith  ,john.smith@brightonbears.com,01273 456789,12 Industrial Estate,Unit 7,Brighton,East Sussex,BN2 5HQ,UK,Soft Toys,$150.00,net 30,5-7,4.2,1,2024-02-20
3,Model Magic Supplies,emma JONES,emma@modelmagic.co.uk, 0161 234 5678 ,78 Commerce Street,,Manchester,greater manchester,M15 4FN,United Kingdom,Model Kits,£300.00,  45 days  ,7-10,4.8,yes,2024-03-10
4,puzzles & games direct,David Brown,d.brown@puzzlesgames.co.uk,0131 987 6543,23 Distribution Park,Building C,Edinburgh,Midlothian,EH12 9DQ,United Kingdom,Puzzles,200,30 days,3-5,null,TRUE,2024-03-25
5,Action Figures UK,LISA DAVIES,lisa@actionfigures.co.uk,0121 876 5432,  56 Trade Center  ,,Birmingham,West Midlands,B5 7RN,United Kingdom,Action Figures,£500.00,60 days,5-7,3.9,TRUE,2024-04-05
6,Educational Toys Wales,Michael Evans,michael.evans@edutoys-wales.com,029 2087 6543,89 School Supplies Road,Floor 2,Cardiff,south glamorgan,CF24 2SH,united kingdom,Educational Toys,£175.00,net 45,4-6,4.6,yes,2024-04-18
7,kidz electronic toys,Rachel Wilson,rachel@kidzelectronics.co.uk,0113 765 4321,34 Technology Way,,Leeds,West Yorkshire,LS9 8TP,United Kingdom,Electronic Toys,350.00,30 days,3-5,4.3,1,2024-05-02
8,Outdoor Play Equipment Ltd,Thomas Taylor,t.taylor@outdoorplay.co.uk,0141 654 3210,67 Park Avenue,Unit 15A,Glasgow,Lanarkshire,G3 8JD,United Kingdom,Outdoor Toys,£750.00,  30 days  ,10-14,4.7,TRUE,
9,Craft & Creative Supplies,AMANDA ROBERTS,amanda@craftcreative.co.uk,0117 543 2109,23 Arts District,,Bristol,Bristol,BS3 4QP,United Kingdom,Arts & Crafts,price pending,45 days,5-7,4.1,TRUE,2024-06-01
10,Baby & Toddler Toys,James Moore,j.moore@babytoddler.co.uk, 0191 432 1098 ,90 Nursery Lane,Suite 3,Newcastle,tyne and wear,NE4 7RD,United Kingdom,Baby Toys,£125.00,net 30,3-5,4.9,yes,2024-06-20
11,board game emporium,Sophie White,sophie.white@boardgames.co.uk,0151 321 0987,45 Gaming Street,,Liverpool,Merseyside,L8 5SG,United Kingdom,Board Games,$225.00,30 days,5-7,4.4,TRUE,2024-07-08
12,  Construction Toys Direct  ,Oliver Clark,oliver@constructiontoys.co.uk,01603 210876,18 Builder's Yard,Warehouse 4,Norwich,Norfolk,NR6 6QW,UK,Building Toys,£400.00,45 days,7-10,4.5,1,2024-07-22
13,Science & Discovery Toys,Charlotte Martin,c.martin@sciencetoys.co.uk,01865 109765,52 Innovation Park,,Oxford,Oxfordshire,OX4 2RD,United Kingdom,Science Toys,£200.00,  net 45  ,5-7,3.8,TRUE,2024-08-05
